,nri_id,stateabbrv,county,risk_val_2025,eal_valt_2025,sovi_score_2025,resl_score_2025,crf_value_2025,risk_val_2023,eal_valt_2023,sovi_score_2023,resl_score_2023,crf_value_2023,risk_val_2021,eal_valt_2021,sovi_score_2021,resl_score_2021,crf_value_2021,risk_val_2020,eal_valt_2020,sovi_score_2020,resl_score_2020,crf_value_2020
0,C01001,AL,Autauga,20510899.445223816,19756570.050850827,38.04071247,55.1208651399491,1.038181192,6156054.321904968,5514046.887245093,51.29999923706055,51.810001373291016,1.116431261428869,2087422.571669436,2656700.419943749,25.85731178557351,55.5298,0.785719969025952,2602011.520830204,3311627.0725,25.8573117856,55.5298,0.785719969025952
1,C01003,AL,Baldwin,253268743.62569928,237391154.81483856,44.24300254,93.00254452926208,1.066883658,210632685.03204638,202015117.82535577,31.030000686645508,86.12000274658203,1.0426580312377443,11904921.522966143,11792728.48654183,34.29247142294049,54.759202,1.0095137470986761,18341433.709805418,18168582.4116,34.2924714229,54.759202,1.0095137470986761
2,C01005,AL,Barbour,15998575.833403887,8923878.02871533,96.3740458,11.164122137404581,1.792782889,7412839.61680404,4715303.672074473,99.2699966430664,6.239999771118164,1.5720810646205527,3905696.1752160257,3533815.684268073,34.6866377611352,50.781998,1.1052348294800713,3329979.822952034,3012916.10989,34.6866377611,50.781998,1.1052348294800713
3,C01007,AL,Bibb,12672466.906524258,8993704.310008163,75.25445293,22.169211195928753,1.40903753,3863746.994426648,3164980.64795442,80.77999877929688,19.729999542236328,1.2207806063281468,1282439.44114247,1756286.8292431275,21.482065431612142,51.8076,0.7301993158458848,1564590.1802651796,2142689.18953,21.4820654316,51.8076,0.7301993158458848
4,C01009,AL,Blount,28705360.233473726,21294673.675460633,69.33842239,15.648854961832063,1.34800658,10238536.29147353,8509278.926663205,51.369998931884766,22.81999969482422,1.2032201999386603,5418308.436632994,5954617.396941283,29.720141899881753,53.357400000000005,0.9099339345322547,4141448.656626228,4551372.90682,29.7201418999,53.3574,0.9099339345322547
5,C01011,AL,Bullock,8886364.11215195,5129262.282005452,97.55089059,33.14249363867685,1.732483859,3861867.6330396095,2819556.185555831,83.0999984741211,17.979999542236328,1.3696721678480415,963581.8585212004,762195.8703543491,37.87938510051242,49.7898,1.2642181570378042,1217326.2121276497,962908.344063,37.8793851005,49.7898,1.2642181570378042
6,C01013,AL,Butler,14894617.686379014,9390470.558299657,91.76208651,50.031806615776084,1.58614178,6978410.734334171,5600245.762838086,68.43000030517578,39.59000015258789,1.2460900878031573,6557653.1388853025,4115058.1614325047,49.94087504927079,52.902598,1.5935748370085003,5765549.06500379,3617997.05361,49.9408750493,52.902598,1.5935748370085003
7,C01015,AL,Calhoun,77751603.90155573,53781399.85017145,81.48854962,48.44147582697201,1.445696916,26233823.90671147,21605794.92323623,73.48999786376953,46.720001220703125,1.214203133923944,17255686.609886628,15224394.407480936,38.39180134016555,54.9294,1.1334235141338402,12068991.815773034,10648263.1296,38.3918013402,54.9294,1.1334235141338402
8,C01017,AL,Chambers,15636688.81543624,10902751.955890264,79.42111959,41.4440203562341,1.434196511,5041149.591837785,3604000.6351308627,80.73999786376953,40.130001068115234,1.3987649010652128,2327125.746161209,1704562.0091825405,43.12179739850217,53.372202,1.3652338451900805,3789365.5122259133,2775616.44518,43.1217973985,53.372202,1.3652338451900805
9,C01019,AL,Cherokee,24261439.660738908,16127925.418349072,81.80661578,16.125954198473284,1.504312491,5005163.92064373,4383938.023583251,32.689998626708984,13.59000015258789,1.1417049907454473,4076473.622425494,3995857.7184765376,32.59755616870319,51.3446,1.0201748684834784,3892759.508683295,3815776.71529,32.5975561687,51.3446,1.0201748684834784
