stcofips,state,stateabbrv,county,nri_vintage,cdc_svi_regime,window_start,window_end,n_months,zhvi,eal_valt,risk_value,crf_value,resl_value,resl_score,sovi_score,sovi_value,population,area,pop_density,coastal
01001,01,AL,Autauga,2020,0,2020-05-31,2021-04-30,12,193902.0487320372,3311627.0725,2602011.520830204,0.785719969025952,2.77649,55.5298,25.8573117856,-3.17,54571,594.448312197,35.444571191111095,0
01001,01,AL,Autauga,2021,0,2021-05-31,2022-04-30,12,213523.7556684533,2656700.419943749,2087422.571669436,0.785719969025952,2.77649,55.5298,25.85731178557351,-3.17,54571,594.4483121966858,35.444571191129825,0
01001,01,AL,Autauga,2023,1,2022-09-30,2023-08-31,12,235452.15300803937,5514046.887245093,6156054.321904968,1.116431261428869,2.604995012283325,51.810001373291016,51.29999923706055,,58764,610.47050844,37.16623551345171,0
01001,01,AL,Autauga,2025,1,2025-06-30,2026-03-31,10,256449.07899744398,19756570.050850827,20510899.445223816,1.038181192,2.494860417,55.1208651399491,38.04071247,,58764,610.47050844,37.16623551345171,0
01003,01,AL,Baldwin,2020,0,2020-05-31,2021-04-30,12,270096.7638217358,18168582.4116,18341433.709805418,1.009513747098676,2.7379601,54.759202,34.2924714229,-1.03,182265,1589.81585274,44.26478605127761,1
01003,01,AL,Baldwin,2021,0,2021-05-31,2022-04-30,12,323035.93815384706,11792728.48654183,11904921.522966145,1.009513747098676,2.7379601,54.759202,34.29247142294049,-1.03,182265,1589.815852738394,44.26478605132233,1
01003,01,AL,Baldwin,2023,1,2022-09-30,2023-08-31,12,364268.505143556,202015117.82535577,210632685.0320464,1.0426580312377445,2.745074987411499,86.12000274658203,31.030000686645508,,231365,2047.73877477,43.62395332647015,1
01003,01,AL,Baldwin,2025,1,2025-06-30,2026-03-31,10,370109.848519934,237391154.81483856,253268743.62569928,1.066883658,2.643844358,93.00254452926208,44.24300254,,231365,2047.73877477,43.62395332647015,1
01005,01,AL,Barbour,2020,0,2020-05-31,2021-04-30,12,129636.19661077119,3012916.10989,3329979.822952034,1.1052348294800711,2.5390999,50.781998,34.6866377611,-0.93,27457,885.001635971,11.978734051489203,0
01005,01,AL,Barbour,2021,0,2021-05-31,2022-04-30,12,147921.69588928967,3533815.684268073,3905696.1752160257,1.1052348294800711,2.5390999,50.781998,34.6866377611352,-0.93,27457,885.0016359709122,11.978734051490392,0
01005,01,AL,Barbour,2023,1,2022-09-30,2023-08-31,12,157082.33033132143,4715303.672074473,7412839.61680404,1.5720810646205527,2.383568048477173,6.239999771118164,99.2699966430664,,25160,913.64651118,10.632474488168144,0
01005,01,AL,Barbour,2025,1,2025-06-30,2026-03-31,10,146173.06837917623,8923878.02871533,15998575.833403887,1.792782889,2.328448651,11.16412213740458,96.3740458,,25160,913.64651118,10.632474488168144,0
01007,01,AL,Bibb,2020,0,2020-05-31,2021-04-30,12,179854.05004272316,2142689.18953,1564590.1802651796,0.7301993158458848,2.59038,51.8076,21.4820654316,-4.28,22915,622.460425426,14.213794397871249,0
01007,01,AL,Bibb,2021,0,2021-05-31,2022-04-30,12,202261.14133337725,1756286.8292431275,1282439.44114247,0.7301993158458848,2.59038,51.8076,21.482065431612146,-4.28,22915,622.4604254258261,14.21379439787522,0
01007,01,AL,Bibb,2023,1,2022-09-30,2023-08-31,12,219810.131340034,3164980.64795442,3863746.994426648,1.2207806063281468,2.471524953842163,19.729999542236328,80.77999877929688,,22239,632.4867978000001,13.575808489503249,0
01007,01,AL,Bibb,2025,1,2025-06-30,2026-03-31,10,213113.18556636586,8993704.310008163,12672466.906524258,1.40903753,2.383784337,22.169211195928753,75.25445293,,22239,632.4867978000001,13.575808489503249,0
01009,01,AL,Blount,2020,0,2020-05-31,2021-04-30,12,183039.6908520915,4551372.90682,4141448.656626228,0.9099339345322548,2.66787,53.3574,29.7201418999,-2.19,57322,644.821021595,34.322906733945445,0
01009,01,AL,Blount,2021,0,2021-05-31,2022-04-30,12,208012.71378521048,5954617.396941283,5418308.436632994,0.9099339345322548,2.66787,53.357400000000005,29.720141899881753,-2.19,57322,644.8210215954298,34.322906733922565,0
01009,01,AL,Blount,2023,1,2022-09-30,2023-08-31,12,226068.1615458364,8509278.926663205,10238536.29147353,1.2032201999386605,2.48838210105896,22.81999969482422,51.369998931884766,,58992,657.1965546900001,34.65770134683882,0
01009,01,AL,Blount,2025,1,2025-06-30,2026-03-31,10,229575.36878975452,21294673.675460633,28705360.23347373,1.34800658,2.354619153,15.648854961832065,69.33842239,,58992,657.1965546900001,34.65770134683882,0
01011,01,AL,Bullock,2020,0,2020-05-31,2021-04-30,12,106458.22597469728,962908.344063,1217326.2121276497,1.2642181570378042,2.48949,49.7898,37.8793851005,-0.12,10914,622.805370883,6.766023674251095,0
01011,01,AL,Bullock,2021,0,2021-05-31,2022-04-30,12,120254.87539919761,762195.8703543491,963581.8585212004,1.2642181570378042,2.48949,49.7898,37.87938510051242,-0.12,10914,622.8053708831358,6.76602367424962,0
01011,01,AL,Bullock,2023,1,2022-09-30,2023-08-31,12,119975.47020495219,2819556.185555831,3861867.6330396095,1.3696721678480417,2.4630401134490967,17.979999542236328,83.0999984741211,,10326,631.45451226,6.3138165977993355,0
01011,01,AL,Bullock,2025,1,2025-06-30,2026-03-31,10,122551.72465318572,5129262.282005452,8886364.11215195,1.732483859,2.422162621,33.14249363867685,97.55089059,,10326,631.45451226,6.3138165977993355,0
01013,01,AL,Butler,2020,0,2020-05-31,2021-04-30,12,109959.63212336031,3617997.05361,5765549.06500379,1.5935748370085003,2.6451299,52.902598,49.9408750493,2.94,20947,776.831609305,10.411105723966129,0
01013,01,AL,Butler,2021,0,2021-05-31,2022-04-30,12,121591.95340603066,4115058.1614325047,6557653.1388853025,1.5935748370085003,2.6451299,52.902598,49.94087504927079,2.94,20947,776.8316093047157,10.411105723969941,0
01013,01,AL,Butler,2023,1,2022-09-30,2023-08-31,12,120980.03168021642,5600245.762838086,6978410.734334171,1.246090087803157,2.5565080642700195,39.59000015258789,68.43000030517578,,19015,785.73446055,9.343776500520017,0
01013,01,AL,Butler,2025,1,2025-06-30,2026-03-31,10,114020.57475034725,9390470.558299655,14894617.686379014,1.58614178,2.477503937,50.03180661577608,91.76208651,,19015,785.73446055,9.343776500520017,0
01015,01,AL,Calhoun,2020,0,2020-05-31,2021-04-30,12,136432.49567418153,10648263.1296,12068991.815773034,1.1334235141338402,2.74647,54.9294,38.3918013402,0.01,118572,605.888277004,75.55992330334408,0
01015,01,AL,Calhoun,2021,0,2021-05-31,2022-04-30,12,151580.12309777047,15224394.407480936,17255686.609886628,1.1334235141338402,2.74647,54.9294,38.39180134016555,0.01,118572,605.8882770039564,75.5599233033495,0
01015,01,AL,Calhoun,2023,1,2022-09-30,2023-08-31,12,159489.16945244756,21605794.92323623,26233823.90671147,1.214203133923944,2.585793972015381,46.720001220703125,73.48999786376953,,116250,618.45514341,72.57493718188142,0
01015,01,AL,Calhoun,2025,1,2025-06-30,2026-03-31,10,167195.7491285954,53781399.85017145,77751603.90155573,1.445696916,2.471326509,48.44147582697201,81.48854962,,116250,618.45514341,72.57493718188142,0
01017,01,AL,Chambers,2020,0,2020-05-31,2021-04-30,12,118322.078450353,2775616.44518,3789365.512225914,1.3652338451900805,2.6686101,53.372202,43.1217973985,1.21,34215,596.531112022,22.145493252387574,0
01017,01,AL,Chambers,2021,0,2021-05-31,2022-04-30,12,135409.10115573587,1704562.0091825405,2327125.746161209,1.3652338451900805,2.6686101,53.372202,43.12179739850217,1.21,34215,596.5311120224442,22.145493252371082,0
01017,01,AL,Chambers,2023,1,2022-09-30,2023-08-31,12,138934.4581797588,3604000.6351308622,5041149.591837785,1.3987649010652128,2.5579190254211426,40.130001068115234,80.73999786376953,,34738,609.20234739,22.01634162306345,0
01017,01,AL,Chambers,2025,1,2025-06-30,2026-03-31,10,141712.78818934847,10902751.955890264,15636688.81543624,1.434196511,2.448126026,41.4440203562341,79.42111959,,34738,609.20234739,22.01634162306345,0
01019,01,AL,Cherokee,2020,0,2020-05-31,2021-04-30,12,174179.43459336457,3815776.71529,3892759.508683295,1.0201748684834784,2.56723,51.3446,32.5975561687,-1.46,25989,553.758589991,18.120534576970876,0
01019,01,AL,Cherokee,2021,0,2021-05-31,2022-04-30,12,204875.3337057352,3995857.7184765376,4076473.622425494,1.0201748684834784,2.56723,51.3446,32.59755616870319,-1.46,25989,553.758589990806,18.120534576977224,0
01019,01,AL,Cherokee,2023,1,2022-09-30,2023-08-31,12,214906.99476492047,4383938.023583251,5005163.92064373,1.1417049907454473,2.4397969245910645,13.59000015258789,32.689998626708984,,24933,606.03334623,15.884733332196431,0
01019,01,AL,Cherokee,2025,1,2025-06-30,2026-03-31,10,225815.68032342257,16127925.418349072,24261439.660738908,1.504312491,2.357023665,16.125954198473284,81.80661578,,24933,606.03334623,15.884733332196431,0
01021,01,AL,Chilton,2020,0,2020-05-31,2021-04-30,12,163646.6910479636,3009763.47962,2824225.1423830534,0.9383545124082734,2.5866101,51.732202,29.7595585337,-2.18,43643,692.851894178,24.32070165727573,0
01021,01,AL,Chilton,2021,0,2021-05-31,2022-04-30,12,187111.88278767874,3239485.47652865,3039785.8147817245,0.9383545124082734,2.5866101,51.73220200000001,29.759558533701224,-2.18,43643,692.8518941783097,24.320701657264852,0
01021,01,AL,Chilton,2023,1,2022-09-30,2023-08-31,12,206231.7727746641,6176421.023552406,8034568.594594459,1.3008453542846936,2.481623888015747,21.579999923706055,72.22000122070312,,44999,707.86207089,24.54460984769746,0
01021,01,AL,Chilton,2025,1,2025-06-30,2026-03-31,10,212414.73552634203,16121833.88283064,18927268.083146684,1.174014583,2.38069982,21.43765903307888,52.60814249,,44999,707.86207089,24.54460984769746,0
01023,01,AL,Choctaw,2021,0,2022-02-28,2022-04-30,3,156650.81860020178,3666608.0197040495,4917816.57984877,1.3412441562939994,2.4497499,48.994997999999995,39.10130074891604,0.19,13859,913.4670758053744,5.85788590839437,0
01023,01,AL,Choctaw,2023,1,2022-09-30,2023-08-31,12,148586.36718739892,10512312.00514454,14763935.389033703,1.404442275096905,2.4011950492858887,8.020000457763672,71.16000366210938,,12632,930.15561678,5.243465523696231,0
01023,01,AL,Choctaw,2025,1,2025-06-30,2026-03-31,10,131166.08599408067,20591133.971812453,30453724.63571277,1.478972682,2.340257343,12.786259541984732,79.70737913,,12632,930.15561678,5.243465523696231,0
01025,01,AL,Clarke,2020,0,2020-05-31,2021-04-30,12,137866.12581521453,3789666.68899,5602450.311617168,1.4783490927826954,2.56529,51.3058,44.6196294836,1.59,25833,1238.41988816,8.05394832544121,1
01025,01,AL,Clarke,2021,0,2021-05-31,2022-04-30,12,158601.72416815453,2193152.9371259157,3242245.6549338014,1.4783490927826954,2.56529,51.3058,44.6196294836421,1.59,25833,1238.4198881565055,8.053948325463937,1
01025,01,AL,Clarke,2023,1,2022-09-30,2023-08-31,12,156964.61760478528,9091113.332208836,13183483.029359404,1.4501505533598116,2.4842050075531006,22.18000030517578,85.5199966430664,,23038,1265.21927025,7.030413816658437,1
01025,01,AL,Clarke,2025,1,2025-06-30,2026-03-31,10,134601.2930789899,13317190.291141745,18360843.316108197,1.378732519,2.430680076,35.846055979643765,74.10941476,,23038,1265.21927025,7.030413816658437,1
01027,01,AL,Clay,2020,0,2020-05-31,2021-04-30,12,135308.2158309863,2212622.68562,2661487.651026128,1.2028655713978411,2.6453099,52.906198,38.9436342136,0.15,13932,603.961409876,8.906481871509518,0
01027,01,AL,Clay,2021,0,2021-05-31,2022-04-30,12,154219.97675448438,1790870.498716042,2154176.4657376087,1.2028655713978411,2.6453099,52.906198,38.943634213638155,0.15,13932,603.961409876326,8.906481871504711,0
01027,01,AL,Clay,2023,1,2022-09-30,2023-08-31,12,159343.35454640046,2212158.5845154715,2879757.2892155796,1.301786096789409,2.559664011001587,40.63999938964844,53.09000015258789,,14212,612.11944638,8.964393969377337,0
01027,01,AL,Clay,2025,1,2025-06-30,2026-03-31,10,173611.53881905304,5935467.605635976,9236216.077292468,1.556105886,2.476817794,49.904580152671755,89.40839695,,14212,612.11944638,8.964393969377337,0
01029,01,AL,Cleburne,2020,0,2020-05-31,2021-04-30,12,165557.29489159913,2847287.67957,2852503.1195103955,1.0018317221606434,2.5343101,50.686202,31.4544737879,-1.75,14972,560.10424779,10.320788179835695,0
01029,01,AL,Cleburne,2021,0,2021-05-31,2022-04-30,12,195504.7635807447,2267774.346275629,2271928.2788010407,1.0018317221606434,2.5343101,50.686201999999994,31.454473787938507,-1.75,14972,560.1042477896762,10.320788179841664,0
01029,01,AL,Cleburne,2023,1,2022-09-30,2023-08-31,12,204700.10712656702,2311388.046995744,2902687.55834762,1.2558200956868428,2.38887095451355,6.71999979019165,45.41999816894531,,15040,566.6772813,10.24740609747116,0
01029,01,AL,Cleburne,2025,1,2025-06-30,2026-03-31,10,223204.3961281092,6039350.9575408315,9470248.965354646,1.568090517,2.304893916,8.333333333333332,84.25572519,,15040,566.6772813,10.24740609747116,0
01031,01,AL,Coffee,2020,0,2020-05-31,2021-04-30,12,135046.02057196785,6285803.79274,6796707.293731291,1.0812789450382423,2.7433,54.866,36.7363027197,-0.41,49948,678.985821547,28.402679308570068,0
01031,01,AL,Coffee,2021,0,2021-05-31,2022-04-30,12,150055.758922266,8355409.838246946,9034528.735261813,1.0812789450382423,2.7433,54.866,36.736302719747734,-0.41,49948,678.9858215465537,28.402679308588738,0
01031,01,AL,Coffee,2023,1,2022-09-30,2023-08-31,12,164407.95242088076,32828035.649485696,40354826.61567451,1.229279358855172,2.568466901779175,42.869998931884766,64.88999938964844,,53391,687.36451563,29.990441516370357,0
01031,01,AL,Coffee,2025,1,2025-06-30,2026-03-31,10,175919.69727562304,43010301.669957496,52607092.3471182,1.223127723,2.451156211,42.39821882951654,59.57379135,,53391,687.36451563,29.990441516370357,0
01033,01,AL,Colbert,2020,0,2020-05-31,2021-04-30,12,138763.79917005106,7442212.21761,7897911.982723874,1.061231761711334,2.7594199,55.188398,36.3815530154,-0.5,54428,592.618486015,35.46084614070273,0
01033,01,AL,Colbert,2021,0,2021-05-31,2022-04-30,12,162740.6385735369,6069808.601261043,6441473.675166865,1.061231761711334,2.7594199,55.18839800000001,36.38155301537249,-0.5,54428,592.6184860152262,35.46084614068919,0
01033,01,AL,Colbert,2023,1,2022-09-30,2023-08-31,12,177197.99427331635,11551710.612660162,13039100.047965758,1.1287592362013883,2.6595029830932617,66.01000213623047,34.75,,57133,629.81203974,35.02498704006374,0
01033,01,AL,Colbert,2025,1,2025-06-30,2026-03-31,10,194788.6518123511,34936872.025097616,45382717.33549935,1.298992002,2.537551285,68.06615776081425,69.81552163,,57133,629.81203974,35.02498704006374,0
01035,01,AL,Conecuh,2020,0,2020-05-31,2021-04-30,12,108270.76973942535,2543710.81899,4299454.138341244,1.690229135420502,2.47177,49.4354,51.320457233,3.29,13228,850.176765307,6.007404383735927,0
01035,01,AL,Conecuh,2021,0,2021-05-31,2022-04-30,12,122405.39901592887,1723974.6636953885,2913912.205304707,1.690229135420502,2.47177,49.4354,51.3204572329523,3.29,13228,850.1767653070356,6.007404383735676,0
