stcofips,year,month,month_t,deviation
01001,2020,1,1,457.72377224461525
01001,2020,1,2,-281.2565250545449
01001,2020,1,3,-13776.093514168402
01001,2020,1,4,4120.874291648361
01001,2020,1,5,16649.551629989728
01001,2020,1,6,18507.3243126983
01001,2020,1,7,19780.975322090555
01001,2020,1,8,9373.951114413969
01001,2020,1,9,8478.093342225737
01001,2020,1,10,5760.452128442092
01001,2020,1,11,3692.2036161402357
01001,2020,1,12,-4386.229634459509
01001,2020,6,1,18507.3243126983
01001,2020,6,2,19780.975322090555
01001,2020,6,3,9373.951114413969
01001,2020,6,4,8478.093342225737
01001,2020,6,5,5760.452128442092
01001,2020,6,6,3692.2036161402357
01001,2020,6,7,-4386.229634459509
01001,2020,6,8,-5030.306813578267
01001,2020,6,9,-14464.496504811075
01001,2020,6,10,-14060.039406418538
01001,2020,6,11,-6256.23173013865
01001,2020,6,12,-6147.2271542715025
01001,2021,3,1,-14060.039406418538
01001,2021,3,2,-6256.23173013865
01001,2021,3,3,-6147.2271542715025
01001,2021,3,4,3597.775897001382
01001,2021,3,5,8009.665358839789
01001,2021,3,6,2466.273754501133
01001,2021,3,7,-7679.360301664827
01001,2021,3,8,-13988.383210670232
01001,2021,3,9,-15780.183258082398
01001,2021,3,10,-17752.330767982086
01001,2021,3,11,-19102.417599953333
01001,2021,3,12,-16921.127884605958
01001,2021,4,1,-6256.23173013865
01001,2021,4,2,-6147.2271542715025
01001,2021,4,3,3597.775897001382
01001,2021,4,4,8009.665358839789
01001,2021,4,5,2466.273754501133
01001,2021,4,6,-7679.360301664827
01001,2021,4,7,-13988.383210670232
01001,2021,4,8,-15780.183258082398
01001,2021,4,9,-17752.330767982086
01001,2021,4,10,-19102.417599953333
01001,2021,4,11,-16921.127884605958
01001,2021,4,12,-25803.12225565646
01001,2021,5,1,-6147.2271542715025
01001,2021,5,2,3597.775897001382
01001,2021,5,3,8009.665358839789
01001,2021,5,4,2466.273754501133
01001,2021,5,5,-7679.360301664827
01001,2021,5,6,-13988.383210670232
01001,2021,5,7,-15780.183258082398
01001,2021,5,8,-17752.330767982086
01001,2021,5,9,-19102.417599953333
01001,2021,5,10,-16921.127884605958
01001,2021,5,11,-25803.12225565646
01001,2021,5,12,-23668.068211180333
01001,2021,6,1,3597.775897001382
01001,2021,6,2,8009.665358839789
01001,2021,6,3,2466.273754501133
01001,2021,6,4,-7679.360301664827
01001,2021,6,5,-13988.383210670232
01001,2021,6,6,-15780.183258082398
01001,2021,6,7,-17752.330767982086
01001,2021,6,8,-19102.417599953333
01001,2021,6,9,-16921.127884605958
01001,2021,6,10,-25803.12225565646
01001,2021,6,11,-23668.068211180333
01001,2021,6,12,-18587.76787441157
01001,2022,6,1,-10427.776787530398
01001,2022,6,2,-15088.905003116728
01001,2022,6,3,-21203.62752364247
01001,2022,6,4,-21539.623137353774
01001,2022,6,5,-22742.496301993844
01001,2022,6,6,-16773.04444366964
01001,2022,6,7,-26901.36482880803
01001,2022,6,8,-22386.17107389192
01001,2022,6,9,-22151.337891036965
01001,2022,6,10,-12637.066545942711
01001,2022,6,11,-23349.987936917634
01001,2022,6,12,-10486.099194986047
01001,2022,7,1,-15088.905003116728
01001,2022,7,2,-21203.62752364247
01001,2022,7,3,-21539.623137353774
01001,2022,7,4,-22742.496301993844
01001,2022,7,5,-16773.04444366964
01001,2022,7,6,-26901.36482880803
01001,2022,7,7,-22386.17107389192
01001,2022,7,8,-22151.337891036965
01001,2022,7,9,-12637.066545942711
01001,2022,7,10,-23349.987936917634
01001,2022,7,11,-10486.099194986047
01001,2022,7,12,-17193.028286400688
01001,2022,8,1,-21203.62752364247
01001,2022,8,2,-21539.623137353774
01001,2022,8,3,-22742.496301993844
01001,2022,8,4,-16773.04444366964
01001,2022,8,5,-26901.36482880803
01001,2022,8,6,-22386.17107389192
01001,2022,8,7,-22151.337891036965
01001,2022,8,8,-12637.066545942711
01001,2022,8,9,-23349.987936917634
01001,2022,8,10,-10486.099194986047
01001,2022,8,11,-17193.028286400688
01001,2022,8,12,-19102.032631973154
01001,2023,7,1,-19102.032631973154
01001,2023,7,2,-13403.612492630898
01001,2023,7,3,-21102.933881341014
01001,2023,7,4,-21906.538801851857
01001,2023,7,5,-16087.029846108984
01001,2023,7,6,-25303.38154843272
01001,2023,7,7,-21518.777238527662
01001,2023,7,8,-23593.463188717462
01001,2023,7,9,-23283.829644621524
01001,2023,7,10,-38642.67718658291
01001,2023,7,11,-20700.89838716536
01001,2023,7,12,1565.1546205674822
01001,2023,8,1,-13403.612492630898
01001,2023,8,2,-21102.933881341014
01001,2023,8,3,-21906.538801851857
01001,2023,8,4,-16087.029846108984
01001,2023,8,5,-25303.38154843272
01001,2023,8,6,-21518.777238527662
01001,2023,8,7,-23593.463188717462
01001,2023,8,8,-23283.829644621524
01001,2023,8,9,-38642.67718658291
01001,2023,8,10,-20700.89838716536
01001,2023,8,11,1565.1546205674822
01001,2023,8,12,-16596.434515442146
01001,2024,1,1,-21518.777238527662
01001,2024,1,2,-23593.463188717462
01001,2024,1,3,-23283.829644621524
01001,2024,1,4,-38642.67718658291
01001,2024,1,5,-20700.89838716536
01001,2024,1,6,1565.1546205674822
01001,2024,1,7,-16596.434515442146
01001,2024,1,8,-22251.741894807725
01001,2024,1,9,-17699.13668491316
01001,2024,1,10,-24208.60282089247
01001,2024,1,11,-20130.305026897666
01001,2024,1,12,-20980.806920223404
01001,2024,5,1,-20700.89838716536
01001,2024,5,2,1565.1546205674822
01001,2024,5,3,-16596.434515442146
01001,2024,5,4,-22251.741894807725
01001,2024,5,5,-17699.13668491316
01001,2024,5,6,-24208.60282089247
01001,2024,5,7,-20130.305026897666
01001,2024,5,8,-20980.806920223404
01001,2024,5,9,-30708.58040531579
01001,2024,5,10,-17157.77386810683
01001,2024,5,11,-25147.93030881975
01001,2024,5,12,-6492.997958844644
01003,2020,3,1,51255.97614693432
01003,2020,3,2,69842.90281320631
01003,2020,3,3,82842.7637898323
01003,2020,3,4,85529.40372719252
01003,2020,3,5,87828.60961315976
01003,2020,3,6,79288.37196594846
01003,2020,3,7,80734.27501049355
01003,2020,3,8,80812.5434129184
01003,2020,3,9,81333.50665537347
01003,2020,3,10,75388.90002422247
01003,2020,3,11,77516.23904229715
01003,2020,3,12,70891.33266869228
01003,2020,4,1,69842.90281320631
01003,2020,4,2,82842.7637898323
01003,2020,4,3,85529.40372719252
01003,2020,4,4,87828.60961315976
01003,2020,4,5,79288.37196594846
01003,2020,4,6,80734.27501049355
01003,2020,4,7,80812.5434129184
01003,2020,4,8,81333.50665537347
01003,2020,4,9,75388.90002422247
01003,2020,4,10,77516.23904229715
01003,2020,4,11,70891.33266869228
01003,2020,4,12,74912.79471625632
01003,2020,5,1,82842.7637898323
01003,2020,5,2,85529.40372719252
01003,2020,5,3,87828.60961315976
01003,2020,5,4,79288.37196594846
01003,2020,5,5,80734.27501049355
01003,2020,5,6,80812.5434129184
01003,2020,5,7,81333.50665537347
01003,2020,5,8,75388.90002422247
01003,2020,5,9,77516.23904229715
01003,2020,5,10,70891.33266869228
01003,2020,5,11,74912.79471625632
01003,2020,5,12,86299.03381564893
01003,2020,6,1,85529.40372719252
01003,2020,6,2,87828.60961315976
01003,2020,6,3,79288.37196594846
01003,2020,6,4,80734.27501049355
01003,2020,6,5,80812.5434129184
01003,2020,6,6,81333.50665537347
01003,2020,6,7,75388.90002422247
01003,2020,6,8,77516.23904229715
01003,2020,6,9,70891.33266869228
01003,2020,6,10,74912.79471625632
01003,2020,6,11,86299.03381564893
01003,2020,6,12,89987.22747293088
01003,2020,7,1,87828.60961315976
01003,2020,7,2,79288.37196594846
01003,2020,7,3,80734.27501049355
01003,2020,7,4,80812.5434129184
01003,2020,7,5,81333.50665537347
01003,2020,7,6,75388.90002422247
01003,2020,7,7,77516.23904229715
01003,2020,7,8,70891.33266869228
01003,2020,7,9,74912.79471625632
01003,2020,7,10,86299.03381564893
01003,2020,7,11,89987.22747293088
01003,2020,7,12,103369.4596584879
01003,2020,9,1,80734.27501049355
01003,2020,9,2,80812.5434129184
01003,2020,9,3,81333.50665537347
01003,2020,9,4,75388.90002422247
01003,2020,9,5,77516.23904229715
01003,2020,9,6,70891.33266869228
01003,2020,9,7,74912.79471625632
01003,2020,9,8,86299.03381564893
01003,2020,9,9,89987.22747293088
01003,2020,9,10,103369.4596584879
01003,2020,9,11,110821.0470945951
01003,2020,9,12,108054.97841269893
01003,2021,4,1,86299.03381564893
01003,2021,4,2,89987.22747293088
01003,2021,4,3,103369.4596584879
01003,2021,4,4,110821.0470945951
01003,2021,4,5,108054.97841269893
01003,2021,4,6,100025.08938947078
01003,2021,4,7,95757.60711046754
01003,2021,4,8,95632.2331791019
01003,2021,4,9,95653.33065030584
01003,2021,4,10,96619.12672960511
01003,2021,4,11,101208.41712440134
01003,2021,4,12,94614.13502344539
01003,2021,5,1,89987.22747293088
01003,2021,5,2,103369.4596584879
01003,2021,5,3,110821.0470945951
01003,2021,5,4,108054.97841269893
01003,2021,5,5,100025.08938947078
01003,2021,5,6,95757.60711046754
01003,2021,5,7,95632.2331791019
01003,2021,5,8,95653.33065030584
01003,2021,5,9,96619.12672960511
01003,2021,5,10,101208.41712440134
01003,2021,5,11,94614.13502344539
01003,2021,5,12,98339.15643726909
01003,2021,7,1,110821.0470945951
01003,2021,7,2,108054.97841269893
01003,2021,7,3,100025.08938947078
01003,2021,7,4,95757.60711046754
01003,2021,7,5,95632.2331791019
01003,2021,7,6,95653.33065030584
01003,2021,7,7,96619.12672960511
01003,2021,7,8,101208.41712440134
01003,2021,7,9,94614.13502344539
01003,2021,7,10,98339.15643726909
01003,2021,7,11,105280.71533523017
01003,2021,7,12,114495.71657556747
01003,2021,9,1,100025.08938947078
01003,2021,9,2,95757.60711046754
01003,2021,9,3,95632.2331791019
01003,2021,9,4,95653.33065030584
01003,2021,9,5,96619.12672960511
01003,2021,9,6,101208.41712440134
01003,2021,9,7,94614.13502344539
01003,2021,9,8,98339.15643726909
01003,2021,9,9,105280.71533523017
01003,2021,9,10,114495.71657556747
01003,2021,9,11,110572.38855847815
01003,2021,9,12,104223.85982095494
01003,2021,10,1,95757.60711046754
01003,2021,10,2,95632.2331791019
01003,2021,10,3,95653.33065030584
01003,2021,10,4,96619.12672960511
01003,2021,10,5,101208.41712440134
01003,2021,10,6,94614.13502344539
01003,2021,10,7,98339.15643726909
01003,2021,10,8,105280.71533523017
01003,2021,10,9,114495.71657556747
01003,2021,10,10,110572.38855847815
01003,2021,10,11,104223.85982095494
01003,2021,10,12,103504.09315771275
01003,2021,12,1,95653.33065030584
01003,2021,12,2,96619.12672960511
01003,2021,12,3,101208.41712440134
01003,2021,12,4,94614.13502344539
01003,2021,12,5,98339.15643726909
01003,2021,12,6,105280.71533523017
01003,2021,12,7,114495.71657556747
01003,2021,12,8,110572.38855847815
01003,2021,12,9,104223.85982095494
01003,2021,12,10,103504.09315771275
01003,2021,12,11,101981.3067188217
01003,2021,12,12,107554.93877690629
01003,2022,5,1,105280.71533523017
01003,2022,5,2,114495.71657556747
01003,2022,5,3,110572.38855847815
01003,2022,5,4,104223.85982095494
01003,2022,5,5,103504.09315771275
01003,2022,5,6,101981.3067188217
01003,2022,5,7,107554.93877690629
01003,2022,5,8,97622.22435280628
01003,2022,5,9,102842.4427432646
01003,2022,5,10,104333.57447171054
01003,2022,5,11,114832.48793627106
01003,2022,5,12,104783.72433208898
01003,2022,6,1,114495.71657556747
01003,2022,6,2,110572.38855847815
01003,2022,6,3,104223.85982095494
01003,2022,6,4,103504.09315771275
01003,2022,6,5,101981.3067188217
01003,2022,6,6,107554.93877690629
01003,2022,6,7,97622.22435280628
01003,2022,6,8,102842.4427432646
01003,2022,6,9,104333.57447171054
01003,2022,6,10,114832.48793627106
01003,2022,6,11,104783.72433208898
01003,2022,6,12,118917.06600020279
01003,2022,7,1,110572.38855847815
01003,2022,7,2,104223.85982095494
01003,2022,7,3,103504.09315771275
01003,2022,7,4,101981.3067188217
01003,2022,7,5,107554.93877690629
01003,2022,7,6,97622.22435280628
01003,2022,7,7,102842.4427432646
01003,2022,7,8,104333.57447171054
01003,2022,7,9,114832.48793627106
01003,2022,7,10,104783.72433208898
01003,2022,7,11,118917.06600020279
01003,2022,7,12,113130.23460284938
01003,2022,8,1,104223.85982095494
01003,2022,8,2,103504.09315771275
01003,2022,8,3,101981.3067188217
01003,2022,8,4,107554.93877690629
01003,2022,8,5,97622.22435280628
01003,2022,8,6,102842.4427432646
01003,2022,8,7,104333.57447171054
01003,2022,8,8,114832.48793627106
01003,2022,8,9,104783.72433208898
01003,2022,8,10,118917.06600020279
01003,2022,8,11,113130.23460284938
01003,2022,8,12,111684.93538648545
01003,2022,10,1,101981.3067188217
01003,2022,10,2,107554.93877690629
01003,2022,10,3,97622.22435280628
