target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
48393,2021,5,1,48483,,119363.32732860472
13061,2021,4,1,13037,142386.19166840462,102095.47242944824
06041,2020,3,1,06095,1144522.5123626518,465840.9156475354
06045,2022,9,1,06097,587692.0771884335,803096.2225647861
48199,2022,1,3,"48457,48241,48373",222866.291162407,191525.569229982
36111,2022,9,1,36071,371468.25673614745,390638.0484695991
21009,2024,6,1,21061,201974.0132200128,184208.46900983396
24005,2025,5,1,24029,356812.4169445044,375374.3813225599
42123,2023,7,2,"42039,42049",124824.95376459842,167249.16527272022
06067,2021,10,1,06013,513910.326464029,813921.4334756774
17165,2023,5,1,17069,94012.96643884956,107215.55167697702
53045,2025,2,3,"53067,53053,53035",449979.5534121893,558264.2214648244
53047,2021,7,4,"53025,53019,53043,53007",275997.9745155899,335468.05506999133
21047,2020,7,1,21221,120140.15373616916,231268.19363142792
29149,2025,5,2,"05049,05121",169966.84554452007,165048.16204087334
06089,2024,12,1,06093,375196.31286416,289072.95832331415
48033,2021,10,1,48115,,117469.7519663663
27037,2021,9,1,27163,357925.34009506024,394311.60547375213
18065,2020,7,1,18135,116825.76020316836,96156.86961250844
18167,2022,4,1,18021,130024.86422650063,148656.38672854728
18121,2022,8,1,18021,171882.7194577959,155167.0030997183
30029,2021,6,2,"30089,30073",486381.3520310653,246918.60421166266
45013,2024,6,1,45049,540313.6888857036,168756.13948530247
16001,2022,8,1,16045,554136.9553481509,489685.4744491504
41063,2024,7,2,"53013,53023",417517.7112488384,227702.92215477995
05049,2024,11,1,05065,184035.80244624935,169912.3757631922
13001,2023,4,1,13279,148020.81700727038,142403.74088789077
17183,2022,7,1,18171,86994.91939402056,200653.53407513097
06073,2022,10,1,06025,878171.4561249111,309900.45956362865
39043,2020,10,1,39143,156736.3192119457,123795.02678782174
56037,2024,9,1,49009,274498.3888061202,314338.7476904722
32007,2020,7,3,"32033,32011,16083",278066.085238728,191484.3616771336
45091,2025,2,1,45023,395582.7703783245,218637.61845407952
05013,2023,1,2,"05039,05011",131755.46203063804,122242.4556556863
22073,2021,9,2,"22021,22067",157206.19331326164,114894.52133722522
29019,2021,7,1,29089,253517.81788361137,166762.52742047762
42125,2022,9,1,54009,219129.66266983133,117773.87067034436
08059,2021,9,2,"08019,08047",586206.6855119985,503524.05657182855
21007,2025,1,4,"17003,17153,21039,29133",138215.1558720928,97975.02647157203
29055,2021,4,1,29073,166428.68026694126,167626.19385414405
56031,2022,6,1,56009,244916.636657047,267071.7520216556
16013,2021,9,1,16025,769619.3161485768,379445.0310927437
05147,2023,8,1,05123,96900.42435142733,89469.11454503464
06105,2025,1,1,06093,260165.68643017803,288607.96383419045
05043,2024,5,1,05011,153853.16262589212,126832.17843511143
17185,2023,3,1,17159,130011.33108346016,123916.77178615502
48087,2024,5,2,"48191,40009",94903.25456801936,107692.27986397715
48427,2022,5,1,48247,170874.03711537586,105795.81459403744
51119,2021,6,1,51131,297752.43150692363,228336.84384495983
42099,2022,6,1,42043,261335.80133321727,230234.07073560217
40079,2025,5,1,05113,164544.57549261718,182783.04021191373
51179,2025,5,1,51630,536215.2038660975,462816.27584971505
05093,2022,9,4,"47097,05111,05035,47045",107229.41851442476,145228.23709949353
08055,2020,8,2,"08109,08003",183979.79825422695,187779.00851305271
05019,2023,6,1,05039,156176.42730057996,124478.70845903152
48327,2020,2,2,"48095,48435",,153491.96301498724
19077,2020,5,1,19009,183237.9030652214,102552.85563561828
40089,2025,4,1,05113,210102.23494660752,183713.1329420116
12123,2022,8,1,12029,194424.4121651072,212783.83151679477
21015,2021,2,1,18115,263795.3511921435,195402.65060814205
26029,2021,4,5,"26047,26031,26097,26137,26089",290085.8209480968,259629.22720827218
16051,2020,6,1,16065,286513.26520390995,257082.82609555245
