target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
48393,2021,5,1,48483,,230077.05764040377
13061,2021,4,1,13037,297515.6877280969,223718.00740528284
06041,2020,3,1,06095,2072478.323095681,596531.5556545528
06045,2022,9,1,06097,909562.999588329,1277528.4038444045
48199,2022,1,3,"48457,48241,48373",346084.10002804484,338430.7794137671
36111,2022,9,1,36071,594296.3886173343,561995.5931541856
21009,2024,6,1,21061,336374.023114129,324372.77073474514
24005,2025,5,1,24029,570883.6720004315,742761.4327889443
42123,2023,7,2,"42039,42049",219753.7718408841,287071.6275736467
06067,2021,10,1,06013,709529.8055062979,1451014.0063531166
17165,2023,5,1,17069,173944.80475379888,207952.12439432065
53045,2025,2,3,"53067,53053,53035",687962.0560365673,797612.8148100359
53047,2021,7,4,"53025,53019,53043,53007",528327.6968723305,556846.9511629415
21047,2020,7,1,21221,210489.05448923,223674.2053447368
29149,2025,5,2,"05049,05121",317055.64678951865,283378.1402925558
06089,2024,12,1,06093,525213.3283947376,447237.15972606465
48033,2021,10,1,48115,,208478.0417966224
27037,2021,9,1,27163,508388.72017049947,578393.8842531801
18065,2020,7,1,18135,207236.20665343237,181212.961425518
18167,2022,4,1,18021,235217.00847149687,263015.78396309126
18121,2022,8,1,18021,341048.29433543474,274088.9428110645
30029,2021,6,2,"30089,30073",872478.2754691128,453076.7518171065
45013,2024,6,1,45049,1118735.634683422,303931.081115987
16001,2022,8,1,16045,828585.7979731887,828898.5111877113
41063,2024,7,2,"53013,53023",699518.4297845662,385877.657919151
05049,2024,11,1,05065,312939.6439820116,299542.89367102185
13001,2023,4,1,13279,271033.493260022,266370.79576722457
17183,2022,7,1,18171,167816.88844977188,377879.141646832
06073,2022,10,1,06025,1470608.1605754895,428924.0230831402
39043,2020,10,1,39143,272143.3532480255,195452.055560016
56037,2024,9,1,49009,403628.78789574467,492756.38038776646
32007,2020,7,3,"32033,32011,16083",383095.12258828833,313395.1236067069
45091,2025,2,1,45023,639124.96014004,355096.26216138067
05013,2023,1,2,"05039,05011",250329.3290908941,232638.59672874562
22073,2021,9,2,"22021,22067",285524.06652705796,226258.53482745445
29019,2021,7,1,29089,430947.88285898423,346966.4966950274
42125,2022,9,1,54009,425507.1403166294,207419.9223299884
08059,2021,9,2,"08019,08047",829907.937335284,781682.9998924304
21007,2025,1,4,"17003,17153,21039,29133",279548.4963938641,197216.24166603727
29055,2021,4,1,29073,290504.87262207706,343672.3105032987
56031,2022,6,1,56009,475963.68286864687,444427.282465291
16013,2021,9,1,16025,1920744.884948532,625925.674043702
05147,2023,8,1,05123,187247.9724820647,184550.6208671256
06105,2025,1,1,06093,399966.2886919452,447003.45210082346
05043,2024,5,1,05011,270035.4440359213,231937.08724630263
17185,2023,3,1,17159,203803.16164936693,221397.37548576645
48087,2024,5,2,"48191,40009",207412.43854069113,231370.04293875134
48427,2022,5,1,48247,255077.41089969952,224963.24311644075
51119,2021,6,1,51131,530611.8715586233,501580.39382403233
42099,2022,6,1,42043,424354.47159141634,380808.6566140002
40079,2025,5,1,05113,294117.3315656159,322547.58363088017
51179,2025,5,1,51630,707086.9199419649,647303.8409256322
05093,2022,9,4,"47097,05111,05035,47045",204936.60572785896,253914.3559292624
08055,2020,8,2,"08109,08003",364661.6866334662,336413.5851826911
05019,2023,6,1,05039,259776.63453234817,229291.2863377461
48327,2020,2,2,"48095,48435",,251157.8254121063
19077,2020,5,1,19009,386693.8697691763,214449.25402775817
40089,2025,4,1,05113,520347.1029061761,324283.52360980754
12123,2022,8,1,12029,351134.76123801066,370993.5797092184
21015,2021,2,1,18115,390302.5686826632,341431.1854415464
26029,2021,4,5,"26047,26031,26097,26137,26089",654034.334342601,512806.20290279866
16051,2020,6,1,16065,433500.4933898917,385434.95137799624
06065,2021,8,2,"04012,06025",725733.2218436174,437270.4581881927
55031,2021,7,1,27115,327941.8396390076,324713.8252013767
31145,2025,6,1,31065,306478.7574863971,329408.99078955135
48325,2025,5,2,"48507,48163",556550.2753255925,240663.2742162943
20019,2021,10,1,40147,252086.68297425445,253463.07768866932
31041,2025,5,4,"31163,31019,31175,31047",444269.4971495779,472132.64590754773
26079,2024,4,1,26143,359012.6712551308,325810.23452921555
18149,2020,5,1,18131,210889.5118175526,188732.18520748295
30013,2023,7,1,30015,444793.8184837671,572279.6427566414
37131,2023,7,1,37091,303284.0574660985,225750.86364836743
55139,2023,4,3,"55135,55047,55015",394702.8716843271,477684.2860060903
13241,2022,6,2,"13281,13137",930338.0035754824,543002.3404865599
29031,2021,4,1,17181,347701.99169845186,255168.1544474851
13175,2021,2,3,"13283,13309,13023",264254.9080967028,245905.01192410247
49057,2022,5,2,"49033,49029",675306.2176431752,1080234.6834488658
46115,2023,8,1,46005,362843.1165396029,386910.0790343412
05087,2021,5,1,05101,345707.38306530495,307081.11897590506
19193,2020,5,1,19133,247477.15085508185,199511.49965309244
35061,2020,9,1,35006,318420.20800157706,198078.0935583125
51077,2024,5,2,"51640,37005",328220.4111806977,350717.72844431794
26065,2023,7,2,"26155,26093",332102.8897359299,406411.0737354441
37137,2020,8,1,37095,319902.13589341374,441650.24257761176
48363,2024,3,1,48429,736217.5445226118,381118.20480204234
05031,2021,4,1,29069,276669.5700612852,162752.32695553274
06109,2020,6,1,06051,445620.7461369861,905270.502434697
51059,2022,7,2,"51610,51600",1116168.4612309027,1284126.8690489049
51003,2021,6,1,51540,769284.6553347437,667890.2098792259
20003,2024,7,1,20107,376462.2100127041,352035.1339024071
33019,2023,8,1,33013,570109.5974095726,603969.3560220626
19051,2021,7,1,29197,323834.555092768,285027.25381221244
45075,2024,1,1,45011,277837.34279088606,259765.40947341765
21083,2023,2,1,47079,268649.89963558945,353712.56328225206
42073,2025,6,1,39099,277825.12586539495,297821.3408651811
51163,2023,6,2,"51530,51017",512583.55184953153,327484.86815670546
13045,2021,7,2,"13143,13149",349391.0795361386,346763.4321940768
28131,2023,4,2,"28035,28111",272658.96226696245,272020.0499854575
30025,2024,7,1,30109,309212.31562673376,388366.55471308314
17191,2024,8,1,17047,226216.96911735076,206765.24080477413
37121,2025,5,1,37011,406361.8402506041,1007236.8532755704
48065,2023,8,1,48011,298518.80308073445,432926.6338412152
22111,2025,5,1,05003,267982.30495149334,163932.7023610112
55067,2023,6,5,"55069,55083,55085,55041,55078",314189.1461085466,427755.25399062864
31163,2020,7,1,31077,457564.7724910335,561488.1262872466
06097,2021,12,3,"06033,06055,06013",1229759.52783575,1216982.9571774239
13105,2025,5,1,13221,298558.3576952966,442738.694394402
18017,2025,4,2,"18131,18103",271260.7128441579,275787.9061822224
29123,2024,6,1,29157,284630.61340480257,353076.7574442278
48325,2022,4,1,48013,546980.9266500184,454022.84924647905
46011,2022,9,5,"46101,46077,27081,27117,46079",444481.73224960273,511519.1701925375
48101,2022,5,2,"48155,48197",197234.69294046893,251203.64784296515
18127,2024,5,1,18149,461147.5957705053,319318.13433241885
27007,2024,8,2,"27071,27029",382201.7703604538,327893.9050484074
42067,2022,6,2,"42043,42087",370233.0063217736,325269.2579900491
23025,2020,12,1,23007,226812.39455242493,366122.6363746484
37073,2025,5,1,37143,330525.613368295,444673.3691407638
51650,2021,6,2,"51131,51735",300267.2125418502,516914.77101510204
31111,2025,6,1,31047,373185.5781309482,370678.972803456
18051,2024,12,3,"18129,18173,17185",308586.6591719306,327849.3507688591
08109,2021,8,3,"08105,08079,08053",440921.10799373704,583420.8074299778
48465,2020,5,1,48435,253987.79438089323,233988.7510854177
08097,2022,3,2,"08051,08065",8081058.209058891,1099742.8023024234
55125,2025,6,2,"55051,55041",649679.4284704012,362702.5051265354
46039,2024,8,2,"27073,27173",612643.1066864533,406271.3383992397
13279,2025,5,2,"13283,13209",294830.86317787034,305896.98216697393
05025,2024,2,1,05011,267592.5950278204,225139.6462190961
49027,2021,7,1,49039,391821.606181144,470803.4637595185
16017,2020,6,3,"30089,16021,16079",634784.541318811,381865.64045509713
18083,2024,3,1,17033,253907.56251269183,219583.64971616227
01085,2023,6,2,"01013,01131",289606.67983435595,254212.37920013536
30071,2022,2,2,"30005,30027",367235.6984561716,484256.9513689036
05095,2021,5,1,05123,218560.49350052,174184.8070273382
08093,2021,7,2,"08019,08065",689376.6351815657,715160.4008186639
16031,2020,9,2,"16067,16053",358775.14819645433,358096.9563208844
55083,2020,4,1,55078,295111.2040852289,304872.69046964316
49015,2022,7,1,49039,,560375.0208312945
01077,2021,10,1,28141,326053.2876014393,295719.4601963788
20099,2021,5,1,40035,211065.30072991704,323394.3559320486
13287,2025,6,1,13315,299594.21414691285,242567.16056017848
20151,2024,7,1,20097,254781.2335078664,306961.3149397753
16083,2021,8,2,"16047,16053",511483.7489327367,553058.1001589008
40121,2023,8,1,40005,286868.0439381015,364711.02910247975
01025,2022,9,1,01131,268426.78585545253,290090.71705435077
37055,2022,1,1,37095,842506.5249046859,499190.60480892967
47065,2023,1,3,"13313,13295,13047",517618.7782785611,353581.37310820905
39139,2022,5,1,39005,268457.5590355844,325365.9577176702
21099,2024,7,1,21061,331202.901693187,324984.3827834421
22117,2022,2,1,28091,265645.31732615986,251828.9947784764
13141,2020,1,1,13125,294382.4978081537,243570.1384884544
51153,2021,5,1,51685,662255.2384538179,480217.4885648107
12039,2024,8,1,13087,353481.9340715247,299185.4219337664
18167,2022,8,1,18021,242430.68808053335,274088.9428110645
26031,2020,7,1,26097,339607.5165514313,256572.91353486243
53051,2022,6,1,16021,635579.1544928574,782270.2815909825
48173,2023,9,1,48431,,355770.9985862497
20029,2025,4,2,"20089,20123",241720.20007225696,294234.89170143043
34035,2022,2,1,34021,819097.3915184668,634174.6964136317
36119,2022,5,3,"36005,36079,36087",1236052.936345073,738105.700752528
47139,2021,12,1,13111,378421.5083121325,851823.7621416487
47141,2022,5,1,47087,457687.1264753843,384234.72263588366
48507,2024,5,1,48323,167643.3159698256,292717.87189666723
26123,2023,6,1,26105,354182.77451564634,412616.0311417743
49035,2020,5,1,49029,578848.8941186826,762093.0170507586
17143,2021,8,1,17175,232525.8567908441,321586.8392305561
01005,2022,6,1,13259,273717.6445689891,239112.76029730355
45091,2025,6,1,45023,638692.5297933429,348933.16326303635
13189,2025,6,2,"13301,13163",339786.3421671725,266316.45583809115
39077,2022,4,1,39005,263654.0336279024,321318.47807868867
37173,2025,6,1,37113,523574.35050694674,788908.7422867074
46059,2021,8,1,46005,549689.7399383775,351764.6157224633
08077,2024,5,1,08029,601095.5515609747,595327.4098712421
22029,2021,2,2,"22077,22125",223163.807637538,403467.5305288567
18049,2025,5,2,"18131,18103",348809.8420774233,275692.7101616288
53003,2024,9,1,53023,485731.5005906045,336784.5509300595
