target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
42037,2022,7,1,42093,140862.57807107398,152163.78497643323
17039,2023,4,1,17147,66653.72719599873,103863.08123872044
08099,2021,3,1,08011,78923.3975077414,65750.35852482908
16085,2023,5,2,"16045,16003",366135.7255271093,278882.90703469573
40121,2023,2,1,40005,66925.12777022326,85760.66647797648
47151,2025,5,3,"21231,47137,21147",98057.0595014929,96742.02946706586
40015,2022,6,1,40075,45877.54287114643,38648.789337253154
37009,2021,7,1,47091,176687.24836277115,111106.59741021512
23013,2021,6,1,23015,203043.79883447711,213566.2398059978
48309,2022,4,1,48217,149313.49085795786,108766.0034900051
16017,2020,5,2,"30089,16079",244271.9073953426,117682.07711618999
45073,2022,9,2,"13147,13137",150793.37302224422,176185.83617725346
16053,2020,5,2,"16083,16067",156281.53346464722,147364.84081784502
27127,2022,10,3,"27101,27083,27033",81695.20899710321,92056.44212292258
40113,2023,1,1,40103,97313.7966194341,61749.37044808093
32031,2023,9,4,"06049,32019,41037,32029",392150.93275323807,217741.83788134658
28127,2025,7,2,"28065,28129",90020.86729613888,80284.07707162198
16083,2021,8,2,"16053,16047",221855.89957287224,201249.00009817426
23029,2025,8,1,23009,110649.86321601747,242544.97471514504
19147,2024,7,1,19151,81407.19965941708,50403.024707151
18135,2023,1,1,18075,75240.14599513148,73742.5168599808
27083,2024,9,2,"27173,27127",102914.19578225652,82903.18748274559
30047,2020,6,1,30089,195873.6237471026,138729.20489543528
08027,2023,10,2,"08109,08043",229713.91478685543,169070.00792536463
41053,2021,12,1,41071,331927.63957488,362227.8859629945
20145,2024,8,1,20083,44454.689172972656,76442.77542732384
31071,2025,7,1,31175,114189.56256528864,90118.22162164732
18095,2021,8,1,18159,78823.9260825013,110045.37101226304
18057,2025,4,1,18023,322937.6644482768,148436.2238610761
40143,2021,12,1,40147,122073.27333349998,80911.92370480538
04019,2022,10,4,"04003,04023,04009,04027",256731.6988819196,187236.44784104722
41005,2024,8,2,"41065,41027",455813.157933686,384996.3724662545
21075,2025,9,1,29143,50553.56400172915,54952.369064321545
35053,2020,6,1,35006,109888.93180264812,58078.01117229886
17149,2022,5,1,17013,45755.10268670166,103238.4658405065
13137,2021,10,1,13281,155051.76859445448,203658.1495840957
22071,2023,4,2,"22075,22087",156582.16538370328,141698.570769022
40011,2023,8,2,"40043,40093",49375.24805876539,67895.95797367179
20125,2025,5,1,20133,42718.864190015855,47535.00604446207
27149,2025,8,1,27155,113783.1481585374,53768.553516938555
18019,2020,4,1,21223,123593.16870457248,85114.54439374406
05021,2025,8,1,05121,58307.402817186485,73150.08941172824
08085,2023,6,4,"08091,08113,08077,49037",292616.6009049157,397353.5862634944
28035,2021,3,1,28109,102209.36555059714,87908.78963964886
17191,2023,5,1,17159,62170.34066304382,63458.9685535018
48229,2024,6,2,"48377,48109",,106777.99810234478
13213,2021,12,1,13111,160550.3886185229,277439.06520706794
21209,2025,6,3,"21239,21017,21097",245200.12326598857,193073.32565710926
17015,2025,8,3,"17085,19097,19045",67836.41454051352,112316.16733782909
18087,2023,6,2,"26149,26023",168601.36443323817,102539.83487001192
34023,2025,5,1,34021,427373.4925453999,269150.705019966
16019,2021,8,2,"16065,16081",267262.8998075407,333661.1585856414
18105,2021,6,1,18093,167170.49397786995,95659.41634725008
01113,2024,5,1,13053,99021.15075437068,71814.02757477027
19047,2021,6,2,"19093,19193",71866.97394742811,83906.54577906597
26119,2021,6,4,"26135,26137,26039,26031",111308.1277428672,100174.39944502566
13139,2022,6,4,"13157,13011,13013,13137",261056.85909805985,232580.82375714427
39009,2023,3,1,39115,74599.19733142857,67787.18128525904
39023,2024,5,1,39021,106521.4528268604,144496.15772676576
17161,2025,4,2,"19115,19045",87856.36846200132,87714.557266343
55031,2024,5,1,27075,152192.34465445476,145822.71773145205
51041,2025,7,1,51670,305380.5605592068,147571.954640037
47041,2024,7,1,47177,188639.0477760828,158557.84964046298
13105,2023,7,3,"13221,13195,13317",89471.24082980941,150602.26465262007
21185,2023,6,1,21223,272660.72629323363,123974.08425316936
26041,2020,6,1,26089,66677.73904727951,241938.2774839619
01041,2021,12,1,01039,63910.42721408454,79657.37053540933
01035,2022,1,1,01039,66172.08242663326,80380.30123972695
12099,2024,3,1,12093,273397.6761350928,183178.33492561456
39075,2024,4,2,"39169,39151",180500.25808363568,127829.84997836637
04005,2023,5,2,"49037,49025",396085.5798665812,249630.4307706307
26165,2022,9,3,"26019,26133,26079",114948.06736263997,147035.04992199928
18073,2023,2,1,18181,157033.5977098001,110457.1440375854
18057,2022,3,1,18159,283509.2645871294,117820.2865751556
29127,2025,6,2,"29137,29111",95759.10176019416,105265.48952532856
51550,2022,4,1,51740,244343.2937232626,162922.91831492365
27129,2024,9,3,"27127,27173,27023",88723.50074622729,87837.16152050065
51093,2023,12,1,51620,240900.72632973964,111389.59072656174
21083,2021,7,1,47183,74254.0390184095,70769.37755365724
