target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
18021,2021,12,2,"18109,18109"
54037,2020,5,1,51840
31141,2023,8,6,"31003,31159,31003,31139,31159,31139"
38097,2023,4,2,"38003,38003"
32003,2024,6,2,"06037,32015"
51179,2025,6,1,51685
12079,2024,5,2,"12041,12041"
22023,2022,5,3,"48071,48291,48241"
22017,2021,4,2,"48459,48459"
12031,2025,5,2,"12007,12007"
56003,2020,8,2,"56017,56017"
17099,2021,7,2,"17175,17175"
05031,2022,5,3,"05037,47097,05037"
18133,2024,6,2,"18045,18045"
31181,2022,4,1,20123
29169,2023,4,1,29135
06015,2022,11,5,"06049,41029,41019,41019,41029"
42055,2024,1,2,"42009,42009"
18125,2021,6,2,"18101,18101"
39035,2021,3,2,"39077,39099"
48137,2023,10,2,"48323,48323"
17019,2023,4,1,17023
40089,2024,3,3,"40005,40013,40005"
40081,2021,6,2,"40103,40103"
12049,2022,4,1,12043
19189,2024,6,5,"19069,19069,19151,27091,27091"
17037,2024,8,1,17123
29061,2023,5,2,"29003,29003"
19095,2023,7,2,"19115,19115"
29219,2020,3,3,"17013,17013,17083"
54003,2024,8,1,51840
38057,2023,4,1,38083
55047,2020,7,1,55055
20137,2022,5,2,"31061,31061"
45029,2024,5,3,"45011,45011,45011"
20009,2024,7,1,20141
37197,2024,5,2,"37005,37005"
40091,2022,8,3,"40029,40005,40029"
13087,2023,3,1,13037
47147,2024,4,1,47169
29113,2020,7,2,"17083,17083"
32011,2023,7,5,"49003,49045,49023,49027,49045"
06043,2023,8,2,"06009,06009"
29215,2022,2,2,"29093,29073"
45059,2025,5,1,45023
48025,2023,8,2,"48007,48007"
48369,2023,7,4,"35037,35041,35041,35037"
36103,2025,6,1,44005
46095,2022,6,3,"46015,31103,31103"
31071,2023,8,4,"31003,31015,31103,31003"
47179,2024,9,1,37011
06029,2023,2,3,"06053,04012,06053"
46123,2024,7,2,"31091,31171"
54081,2021,1,1,51021
08033,2023,4,11,"08053,35045,35045,08053,08091,08091,08077,35045,49017,49025,49055"
22049,2025,5,1,22041
