target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
21087,2021,2,33,"21023,18169,21039,39137,21233,39083,51685,18115,21173,51021,39077,18171,51720,51735,51820,39021,21091,39099,18165,21115,21201,39143,18159,51540,21163,51690,51520,21001,51580,18009,21143,18093,18101"
05061,2021,3,26,"05065,48163,48247,48459,48287,22007,48455,48119,22125,40033,22077,22121,22047,05101,05035,48379,40103,22027,22093,48461,40003,48199,05123,48507,48483,40029"
45083,2024,6,57,"12017,12115,13061,13125,12027,13065,13053,13271,47137,13295,28147,37005,37177,13315,28111,47121,28037,13143,13279,13225,13163,47101,13175,13195,13317,47177,45011,47023,13013,12041,13307,28117,12055,45049,13283,13219,13117,47117,13047,13087,28063,37011,47135,28139,13193,13301,13281,28135,28107,28009,12049,28077,28027,45033,47075,47071,45005"
18021,2021,12,13,"18109,51167,51775,51720,51735,51595,18065,18159,51540,51520,51660,39005,51740"
54037,2020,5,14,"18131,51600,51610,51685,51720,18075,51735,21005,21159,51840,51520,18009,21063,21223"
21019,2022,6,28,"18109,42077,18157,42095,51600,51610,51167,42087,51775,54049,18171,51720,51735,51595,42043,18159,51540,51678,21189,54009,42025,51520,51660,39005,42093,18119,51740,18021"
27145,2022,9,66,"19079,46015,31179,27117,27155,46035,31103,46005,19167,19193,46073,19141,19145,31023,46023,46099,19035,27063,46009,19009,46125,31167,19119,29123,19041,46097,27133,27101,27105,46101,19143,46079,31149,31125,31091,46111,29135,27081,46083,31099,19115,17071,46127,31043,31147,19149,19021,46135,31051,17069,17147,19197,31173,31143,27083,46067,27033,27103,19059,46077,19091,19093,46087,29033,46027,29186"
54057,2020,6,17,"18131,51600,51610,51685,21055,51720,18075,51735,21005,51195,21159,51840,21221,51520,18009,21063,21223"
20149,2024,8,97,"17199,31181,27065,27091,17139,31121,31011,29101,29085,31083,31079,20107,31129,27173,31175,29211,27029,31093,19031,29075,31047,31019,31167,27073,20183,27087,29083,17059,29173,20097,38083,46097,27125,17145,27079,29105,31059,29053,20089,38099,29061,31039,38045,31073,27041,31125,31163,20123,31183,29175,31171,38089,31035,29129,31099,38095,31169,17151,31117,31061,29073,17165,27009,38031,27071,27127,38093,20163,27149,38065,31185,17047,19087,29079,17069,29151,31173,20147,27121,31143,31077,31137,17123,19093,31065,29089,17013,29033,31001,31081,29157,29003,29041,20141,31113,29107,17003"
31141,2023,8,92,"31089,19079,46015,38081,27117,46035,27161,31103,46005,29069,27013,29101,19167,46073,19141,19145,29037,27173,31003,29211,46023,27153,46099,31139,29155,19035,31159,27095,29149,27063,46125,27073,19119,29083,29123,38083,46097,27133,38019,27159,27045,19067,27105,46101,27011,19129,27041,19143,46079,20209,38013,31091,46111,31183,38073,19189,29175,27145,27081,46083,19133,38095,38027,19115,27151,29019,19165,17035,27009,46127,31043,31147,27149,31015,19149,19021,46135,17033,17069,31173,19195,27121,46067,46011,19059,27023,19093,29089,46087,46027,29186,29003"
38097,2023,4,86,"19079,46015,38081,27117,46035,27161,31103,46005,29069,27013,19167,46073,19141,19145,27173,17051,31003,46023,27153,46099,31139,29155,19035,31159,27095,46045,27063,46125,19119,29123,38083,46097,27133,38019,17159,27159,27105,46101,27011,19129,17173,27041,38003,19143,46079,20209,31091,46111,29135,19189,17023,27081,17015,46083,19133,38095,38027,19115,27151,19165,17035,17175,27009,46127,31043,31147,38063,31015,19149,19021,46135,17033,17069,17147,31173,19195,46067,46011,38029,19059,29221,19093,46087,46027,29186,29003"
32003,2024,6,16,"04027,06109,06031,06111,35031,06079,35055,04009,06069,06099,35006,35003,32015,04011,32029,06037"
31081,2021,12,56,"27117,46035,31103,46005,19167,19193,19183,19141,29185,19185,46023,29197,46099,19035,27063,46009,46125,19119,19041,46097,27133,27101,27105,46101,29103,19143,46079,31091,46111,20123,29135,19095,27081,46083,17079,29051,29073,17071,31043,31147,17039,19021,46135,31051,29151,17133,27083,46067,27033,19059,46077,19093,46087,17013,46027,29041"
39161,2021,8,16,"39083,51685,21173,51021,51720,51735,21091,21115,39143,18159,51540,18055,51520,51640,51580,51131"
37163,2023,9,97,"13097,12081,13035,28019,13151,28005,13055,13269,13009,13125,12027,13157,13085,13227,12053,13289,13129,13053,13021,13271,12043,13141,13207,13115,37177,13315,13167,28111,13111,13309,13143,28125,13079,13083,47061,28015,13045,13279,47033,13225,13261,13163,13015,13175,13195,13121,13317,28131,47023,13159,13013,37091,01131,13169,13291,13171,13123,13307,28117,12055,13311,13209,13259,13011,13283,28143,13117,47095,13047,13313,13303,28063,13213,13293,47135,13063,13193,13265,13301,28161,28083,13281,28041,28135,13211,28107,13319,12049,28077,13023,28027,13187,13133,47075,28011,13107,13199"
51179,2025,6,99,"39151,21147,21025,39133,21069,21035,21231,21039,18131,51830,39055,39083,51610,21071,21049,21177,18025,51685,21197,39171,21053,42049,21173,21007,18103,39077,39075,21033,21205,39093,21129,21017,51197,21103,21157,42023,39099,21097,21201,21109,39153,21095,21159,21193,39143,39095,21139,18143,21235,54073,21239,21131,39043,21065,18023,39169,21051,51678,18129,21189,21153,21221,21175,39101,21199,18123,21237,39063,21225,39117,39007,21011,21125,39033,54063,21165,51580,21195,21181,39005,39103,39085,21203,21013,24035,51670,42093,21143,51630,21063,39123,21223,42039,24029,21149,39173,39147,51530,21119"
12079,2024,5,54,"12017,12115,13061,13125,12027,13053,13271,47137,37005,37177,13315,28111,47121,28037,13143,13279,13225,13163,47101,13175,13195,13317,47177,45011,47023,13013,12041,13307,28117,12055,45049,13283,13117,47117,13047,13087,28063,37011,47135,28139,13193,13301,13281,28135,28107,28009,12049,28077,28027,45033,47075,13029,47071,45005"
22023,2022,5,55,"40093,48057,48015,40053,48291,48267,48241,40133,48247,48275,22083,48217,48115,22101,40075,22007,48177,48373,40043,22091,48149,05081,05037,48321,22125,48377,48431,48071,48425,05077,48489,48081,22037,48327,48077,22121,22047,48127,48197,40095,48155,22093,48471,48333,40003,05123,48239,48093,22057,48185,48433,22025,48435,22067,48013"
22017,2021,4,25,"48163,48247,48459,48287,22007,48455,48119,22125,40033,22077,22121,22047,05101,05035,48379,40103,22003,22027,22093,48461,40003,05123,48507,48483,40029"
12031,2025,5,69,"28113,01023,28019,13091,13061,12093,01013,13125,28065,28003,13053,47069,13271,47137,37143,28023,13109,28147,37005,12067,28039,13315,28043,28111,45023,13309,47067,01035,13037,01085,13093,12075,13163,12015,13175,28069,47159,01131,28051,12041,13307,37187,13209,13259,13283,13219,37113,12105,37011,13173,13237,28139,13193,13235,13301,12007,28083,13281,28041,13221,13319,12087,47173,12049,28129,28061,13023,37141,13197"
17099,2021,7,58,"27067,46035,46005,27115,19167,19193,19141,46023,29197,27153,27029,19035,27063,46009,27073,38083,19041,46097,27133,27101,27159,27165,29103,27163,27041,19143,46079,46111,17023,27081,17079,31117,17027,29073,17175,27009,27127,31043,27149,27025,31015,19021,46135,31051,27083,46067,46011,27033,19059,46077,27023,19093,27019,29089,46087,46027,27135,29107"
05031,2022,5,55,"40093,48057,48015,40053,48291,48267,48241,40133,48247,48275,22083,48217,48115,22101,40075,22007,48177,48373,40043,22091,48149,05081,05037,48321,22125,48377,48431,48071,48425,05077,48489,48081,22037,48327,48077,22121,22047,48127,48197,40095,48155,22093,48471,48333,40003,05123,48239,48093,22057,48185,48433,22025,48435,22067,48013"
18133,2024,6,50,"39151,21023,54093,21233,51600,18059,51685,18115,21055,21033,21061,18111,18045,51735,39021,42023,51063,18173,21097,21201,51570,21213,51840,21219,21139,54073,39169,51678,42131,42055,21225,51790,51683,39007,21183,39003,51640,51580,42057,21181,51660,39103,39085,51670,51630,39123,18149,18181,39173,51530"
