target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
12047,2023,7,103,"01007,28125,13283,13163,28073,13021,13045,13055,28099,01131,13169,13063,13301,13047,13125,37091,12081,13171,13009,13213,28135,13013,28041,13317,47095,28105,28117,13079,13307,28107,47033,13097,28019,28031,13311,47075,28101,13121,13083,37177,28111,13315,13261,13053,28143,12049,28103,13195,13265,13303,47023,13313,13035,47061,13279,13271,13157,13207,28077,13235,13151,28035,13193,01035,13319,28015,12055,13199,13291,12027,28083,28063,13211,28075,13225,13175,13259,13281,13123,13269,28065,13309,28053,13133,28079,47135,13107,28027,28161,13167,01023,13011,28087,28069,13293,13187,13141,01013,13159,28097,28011,47045,13209",342083.0113618391,343768.66428622365
48065,2020,3,20,"22091,22077,48285,48047,48333,48243,22093,48165,48247,22037,48095,48425,48369,48435,48481,48141,48507,48321,48017,48313",253171.67917621895,324853.3139441068
37129,2023,6,110,"01007,28125,13283,13163,28073,13021,13045,13055,28099,01131,13169,13063,13301,13047,28033,13125,37091,12081,13145,13171,13009,13213,28135,13013,28041,13317,47095,28105,28117,13079,13307,28107,47033,13097,28019,28031,13311,47075,28101,13247,13121,13083,37177,28111,13315,13261,13053,28143,12049,28103,13195,13265,13303,47167,47023,13313,13035,47061,13279,47079,13271,13157,13153,13207,47039,28077,13235,13151,28035,13193,01035,13319,28015,47109,12055,13199,13291,12027,28083,28063,13211,28075,13225,13175,13259,13281,13123,13269,28065,13309,28053,13133,28079,13107,28027,28161,13167,01023,13011,28087,28069,13293,13187,13141,01013,13159,28097,28011,47045,13209",754813.4192219434,345282.81648338586
48497,2020,8,14,"48461,48407,48047,48119,22077,48141,48175,48507,22093,48313,48247,22047,22091,05123",438094.79977662745,283767.232077876
17111,2021,8,65,"46101,17079,27019,27025,46077,27003,19093,46023,27009,27159,27115,46027,17071,19041,38083,46135,27017,27171,27101,27067,46125,27127,29103,27041,27023,27149,27163,19021,27133,27165,19035,27033,19167,46067,19193,27105,27081,27153,29089,27135,27117,31051,46011,29197,46099,46079,46005,19059,27063,29107,46009,27073,19119,27141,19143,46087,17175,19141,27029,29073,46035,27093,27083,46083,31043",380076.56228725106,385013.9383297258
01077,2021,6,42,"13265,47105,13317,13209,37199,37113,47159,13259,13023,13283,13231,13281,37181,13021,37121,13269,28113,47171,13037,13309,13279,37087,47183,13107,13197,28027,37073,37043,28045,13301,13031,28009,28147,47083,13141,47137,45011,28135,37075,13053,28005,12027",313576.7079292051,320616.3653747958
48121,2022,6,54,"48431,40093,22057,48489,22101,22117,48177,48093,48149,05037,48155,48333,48115,48433,48197,48015,22093,05023,48247,05123,48291,22047,48239,40095,48373,22067,22037,48377,22007,40003,40053,40043,48425,40133,48241,22095,48217,05081,48275,48071,48435,48471,22125,48321,22121,48057,22083,40075,48185,48127,05077,48077,22091,22025",744665.1710669129,401621.5742804767
13229,2025,4,69,"28083,28129,13175,47159,12087,13023,13093,13283,13281,37113,12075,37011,13163,28113,28065,13307,28041,13037,13309,01085,13237,45023,13271,28019,13197,37005,47069,01131,28023,01023,28043,13235,13301,13259,28051,13219,13125,37141,13193,13091,01035,28003,28069,28039,47173,13319,13173,28147,13061,01013,13109,47137,37143,47067,12015,28061,28111,13315,37187,28139,12105,12093,12067,13221,13053,12049,12041,13209,12007",351307.40144064074,376796.9260980909
51125,2024,8,53,"21055,21181,54051,18165,39075,51640,42023,39083,39085,21139,21219,51570,51580,51678,51600,39067,39103,39147,39151,18125,21201,21225,39043,21033,39173,51683,21097,54103,21017,51610,54069,39111,39019,51840,39055,18129,51735,51530,18173,39123,39117,39169,54093,51790,39005,39157,21233,51685,51670,51063,51630,54073,39007",617014.7131839101,396576.0645334621
46081,2024,5,75,"29101,17199,27065,31171,29033,31011,27075,17017,29173,31017,19093,29211,29083,27031,17069,27079,27087,29075,31095,38089,31173,38065,27009,29079,38093,31121,20097,38031,20107,38083,17003,20083,19145,31167,27071,31097,27173,38095,27127,38045,27091,27041,31071,27023,29061,27149,31085,29175,31073,27121,29089,31115,17145,19069,17013,17033,31053,31039,20123,29053,17151,29107,29041,29003,31091,27073,29157,38099,29129,27029,27125,20141,17005,27095,19151",767645.8830594718,371874.38994647487
