stcofips,year,month,tier,month_t,deviation
01003,2023,4,mid,-1,-0.13998241868800676
01003,2023,4,mid,-2,-0.8007299749482542
01003,2023,4,mid,-3,-1.5995216883653285
01007,2021,3,mid,-1,0.37241858696339136
01007,2021,3,mid,-2,0.6984488871717218
01007,2021,3,mid,-3,0.9174613828328688
01011,2025,5,mid,-1,0.5179093104778616
01011,2025,5,mid,-2,0.9107033755696676
01011,2025,5,mid,-3,0.7968096749706035
01013,2024,12,mid,-1,-0.6469694034236824
01013,2024,12,mid,-2,-0.9770892205251016
01013,2024,12,mid,-3,-1.5356971140182765
01021,2023,6,mid,-1,0.06942492820876112
01021,2023,6,mid,-2,0.37916858874190495
01021,2023,6,mid,-3,0.7604878761555227
01023,2024,5,mid,-1,-0.4305825411785662
01023,2024,5,mid,-2,-0.44362656957488866
01023,2024,5,mid,-3,0.25132481419478836
01025,2023,4,mid,-1,-0.3409863959449382
01025,2023,4,mid,-2,-0.8789502344347255
01025,2023,4,mid,-3,-1.5281284434448565
01025,2025,5,mid,-1,0.10306699144508968
01025,2025,5,mid,-2,0.2993538899324335
01025,2025,5,mid,-3,0.5725731215690502
01027,2021,3,mid,-1,0.29190545772218
01027,2021,3,mid,-2,0.38647914441691
01027,2021,3,mid,-3,0.620772282945623
01027,2022,5,mid,-1,0.5849494353094826
01027,2022,5,mid,-2,1.6875809852161296
01027,2022,5,mid,-3,3.311837693177722
01029,2020,1,mid,-1,0.3216794849793274
01029,2020,1,mid,-2,0.15666240914214313
01029,2020,1,mid,-3,0.06229998644762702
01029,2022,6,mid,-1,-0.11539036483124221
01029,2022,6,mid,-2,-0.8053278600569058
01029,2022,6,mid,-3,-1.5011407169794495
01029,2023,8,mid,-1,-0.45611215927955584
01029,2023,8,mid,-2,-0.5335175681741333
01029,2023,8,mid,-3,-0.6084186037609101
01035,2024,12,mid,-1,-0.016776850573180013
01035,2024,12,mid,-2,0.040130955951880765
01035,2024,12,mid,-3,-0.1430063546818019
01037,2022,6,mid,-1,0.06775841509875136
01037,2022,6,mid,-2,0.07383238559388872
01037,2022,6,mid,-3,-0.009567148429454164
01037,2025,2,mid,-1,-0.07478745727627256
01037,2025,2,mid,-2,0.28613802697651636
01037,2025,2,mid,-3,0.5778148736082898
01039,2023,4,mid,-1,-0.3218981408248709
01039,2023,4,mid,-2,-0.6520546275613981
01039,2023,4,mid,-3,-0.7171429396537548
01039,2024,5,mid,-1,-0.3287838688392668
01039,2024,5,mid,-2,-0.45054008083974395
01039,2024,5,mid,-3,-0.24100942620552246
01041,2024,5,mid,-1,-0.24559203970646593
01041,2024,5,mid,-2,-0.16425682083253434
01041,2024,5,mid,-3,0.5378815725337063
01047,2023,6,mid,-1,1.453078591374279
01047,2023,6,mid,-2,1.794605986180187
01047,2023,6,mid,-3,1.6975116302168516
01049,2023,7,mid,-1,-0.03800072699158363
01049,2023,7,mid,-2,-0.3377440133673417
01049,2023,7,mid,-3,-0.3085328639248104
01053,2023,4,mid,-1,0.0030420982043750655
01053,2023,4,mid,-2,-0.6110961324445299
01053,2023,4,mid,-3,-1.7914373443604035
01057,2022,2,mid,-1,1.6320390636539202
01057,2022,2,mid,-2,2.716827303877338
01057,2022,2,mid,-3,3.1300250398535354
01059,2022,3,mid,-1,0.8975570374126676
01059,2022,3,mid,-2,1.920895632262301
01059,2022,3,mid,-3,2.8724170063881047
01063,2023,6,mid,-1,0.30331333324619436
01063,2023,6,mid,-2,0.5424136863936155
01063,2023,6,mid,-3,1.224350878321033
01063,2025,5,mid,-1,0.7709415752449331
01063,2025,5,mid,-2,2.4088028825177616
