stcofips,year,month,event_type,episode_count,event_count,total_damage,log_damage,total_duration_days
01001,2020,1,Thunderstorm Wind,1,2,0.0,0.0,0.0
01001,2020,6,Thunderstorm Wind,1,1,0.0,0.0,0.0
01001,2021,3,"Thunderstorm Wind,Tornado",1,6,0.0,0.0,0.006944444444444445
01001,2021,4,Hail,1,2,0.0,0.0,0.001388888888888889
01001,2021,5,"Hail,Thunderstorm Wind,Tornado",1,5,0.0,0.0,0.005555555555555556
01001,2021,6,Thunderstorm Wind,1,2,0.0,0.0,0.001388888888888889
01001,2022,6,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01001,2022,7,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01001,2022,8,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01001,2023,7,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01001,2023,8,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01001,2024,1,Flash Flood,1,4,0.0,0.0,0.3333333333333333
01001,2024,5,Thunderstorm Wind,2,3,0.0,0.0,0.011805555555555555
01001,2025,2,Thunderstorm Wind,1,2,0.0,0.0,0.001388888888888889
01001,2025,4,Hail,1,1,0.0,0.0,0.003472222222222222
01001,2025,5,Hail,1,1,0.0,0.0,0.0006944444444444445
01001,2025,7,Hail,1,1,0.0,0.0,0.003472222222222222
01003,2020,3,Thunderstorm Wind,1,1,0.0,0.0,0.001388888888888889
01003,2020,4,"Thunderstorm Wind,Tornado",2,8,0.0,0.0,0.005555555555555556
01003,2020,5,Thunderstorm Wind,1,3,0.0,0.0,0.004166666666666667
01003,2020,6,Thunderstorm Wind,1,1,0.0,0.0,0.001388888888888889
01003,2020,7,"Hail,Thunderstorm Wind",2,5,0.0,0.0,0.004166666666666667
01003,2020,9,Flash Flood,1,10,0.0,0.0,7.215277777777778
01003,2021,4,"Hail,Thunderstorm Wind",3,14,0.0,0.0,0.017361111111111112
01003,2021,5,"Flash Flood,Heavy Rain",1,5,0.0,0.0,1.3333333333333333
01003,2021,7,Flash Flood,2,20,0.0,0.0,2.6666666666666665
01003,2021,9,Flash Flood,1,12,1000000.0,13.815511557963774,1.9305555555555554
01003,2021,10,Flash Flood,1,8,0.0,0.0,1.5972222222222223
01003,2021,12,Flash Flood,1,4,0.0,0.0,0.4583333333333333
01003,2022,5,"Flash Flood,Hail,Thunderstorm Wind,Tornado",4,14,1000000.0,13.815511557963774,0.19583333333333333
01003,2022,6,"Flash Flood,Lightning,Thunderstorm Wind",3,11,50000.0,10.819798284210286,0.3361111111111111
01003,2022,7,Thunderstorm Wind,1,1,0.0,0.0,0.001388888888888889
01003,2022,8,"Flash Flood,Lightning",4,13,20000.0,9.90353755128617,1.4166666666666667
01003,2022,10,Tornado,1,12,0.0,0.0,0.022222222222222223
01003,2023,4,"Flash Flood,Hail,Thunderstorm Wind",3,11,0.0,0.0,0.1763888888888889
01003,2024,3,Hail,1,3,0.0,0.0,0.0
01003,2024,5,"Flash Flood,Thunderstorm Wind",3,21,0.0,0.0,0.33888888888888885
01003,2024,12,Tornado,1,2,0.0,0.0,0.004166666666666667
01003,2025,5,Thunderstorm Wind,1,10,0.0,0.0,0.0
01003,2025,6,Hail,1,1,0.0,0.0,0.0
01003,2025,8,Flash Flood,1,4,0.0,0.0,0.0
01003,2025,10,"Flash Flood,Heavy Rain,Tornado",2,12,0.0,0.0,1.3361111111111112
01003,2025,11,Hail,1,1,0.0,0.0,0.001388888888888889
01005,2020,1,Tornado,1,2,0.0,0.0,0.011111111111111112
01005,2020,3,"Thunderstorm Wind,Tornado",2,4,0.0,0.0,0.01875
01005,2020,4,Thunderstorm Wind,2,3,0.0,0.0,0.06041666666666667
01005,2020,6,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01005,2020,7,Thunderstorm Wind,1,1,0.0,0.0,0.0
01005,2020,8,Thunderstorm Wind,1,2,0.0,0.0,0.001388888888888889
01005,2020,9,Flash Flood,1,6,0.0,0.0,2.125
01005,2021,4,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01005,2021,5,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01005,2022,4,Tornado,1,2,0.0,0.0,0.002777777777777778
01005,2022,5,Thunderstorm Wind,1,1,0.0,0.0,0.006944444444444444
01005,2022,6,"Hail,Thunderstorm Wind",1,2,0.0,0.0,0.001388888888888889
01005,2022,7,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01005,2023,6,"Hail,Thunderstorm Wind,Tornado",2,7,0.0,0.0,0.01944444444444444
01005,2023,8,Thunderstorm Wind,2,3,1000.0,6.90875477931522,0.0020833333333333333
01005,2023,12,Tornado,1,2,0.0,0.0,0.004166666666666667
01005,2024,5,Thunderstorm Wind,1,4,0.0,0.0,0.05555555555555556
01005,2024,8,Thunderstorm Wind,1,1,0.0,0.0,0.004861111111111111
01005,2024,9,Flash Flood,1,4,0.0,0.0,0.4166666666666667
01005,2025,2,Thunderstorm Wind,1,1,0.0,0.0,0.014583333333333332
01005,2025,4,Tornado,1,2,0.0,0.0,0.002777777777777778
01005,2025,5,Thunderstorm Wind,1,2,0.0,0.0,0.0062499999999999995
01007,2020,1,Thunderstorm Wind,1,2,0.0,0.0,0.0
01007,2020,3,Tornado,1,2,0.0,0.0,0.013888888888888888
01007,2020,4,Hail,1,1,0.0,0.0,0.0006944444444444445
01007,2020,6,Thunderstorm Wind,2,5,0.0,0.0,0.003472222222222222
01007,2021,3,Tornado,1,4,0.0,0.0,0.06944444444444443
01007,2022,2,Tornado,1,2,0.0,0.0,0.004166666666666667
01007,2022,4,Thunderstorm Wind,1,1,0.0,0.0,0.0006944444444444445
01007,2022,5,Hail,1,1,0.0,0.0,0.0006944444444444445
01007,2022,6,Thunderstorm Wind,1,2,0.0,0.0,0.001388888888888889
01007,2024,5,Thunderstorm Wind,2,3,0.0,0.0,0.02361111111111111
01007,2024,8,Thunderstorm Wind,1,1,0.0,0.0,0.0020833333333333333
01007,2024,12,Thunderstorm Wind,1,1,0.0,0.0,0.004861111111111111
01007,2025,6,Thunderstorm Wind,1,1,0.0,0.0,0.001388888888888889
01007,2025,7,Thunderstorm Wind,1,1,0.0,0.0,0.001388888888888889
01009,2020,1,Thunderstorm Wind,1,5,0.0,0.0,0.0
01009,2020,2,Flood,2,8,0.0,0.0,1.1666666666666667
01009,2020,4,"Flash Flood,Hail,Tornado",1,17,0.0,0.0,0.35555555555555557
01009,2020,7,Thunderstorm Wind,1,2,0.0,0.0,0.001388888888888889
01009,2020,8,Thunderstorm Wind,1,1,0.0,0.0,0.0
